"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"04/09/2022";"1800";"16,5";"18,6";"16,5";"41,0";"44,0";"23,0";"3,3";"4,4";"-3,8";"1025,7";"1026,6";"1025,7";"2,9";"103,0";"5,9";"2411,60";"0,0"
"04/09/2022";"1900";"16,3";"17,0";"15,8";"46,0";"47,0";"41,0";"4,6";"5,4";"3,4";"1025,4";"1025,8";"1025,4";"2,3";"123,0";"5,9";"1870,00";"0,0"
"04/09/2022";"2000";"14,8";"16,3";"14,8";"54,0";"54,0";"45,0";"5,6";"6,0";"4,0";"1025,5";"1025,5";"1025,4";"2,3";"111,0";"5,0";"1151,00";"0,0"
"04/09/2022";"2100";"13,2";"14,8";"13,2";"62,0";"62,0";"54,0";"6,1";"6,2";"5,3";"1025,7";"1025,7";"1025,4";"1,9";"88,0";"4,1";"391,90";"0,0"
"04/09/2022";"2200";"12,1";"13,2";"12,0";"71,0";"71,0";"62,0";"6,9";"7,2";"6,1";"1025,9";"1026,0";"1025,7";"1,7";"71,0";"3,3";"5,80";"0,0"
"04/09/2022";"2300";"10,9";"12,1";"10,9";"68,0";"71,0";"68,0";"5,3";"6,9";"5,3";"1026,3";"1026,4";"1025,9";"1,6";"71,0";"3,2";"";"0,0"
"05/09/2022";"0000";"10,7";"11,0";"10,3";"73,0";"74,0";"68,0";"6,1";"6,1";"5,2";"1026,5";"1026,5";"1026,3";"1,7";"69,0";"2,7";"";"0,0"
"05/09/2022";"0100";"10,0";"10,7";"9,1";"75,0";"78,0";"73,0";"5,8";"6,2";"4,9";"1026,8";"1026,8";"1026,4";"1,5";"59,0";"2,6";"";"0,0"
"05/09/2022";"0200";"9,7";"10,4";"9,5";"76,0";"77,0";"71,0";"5,8";"6,1";"4,8";"1026,9";"1027,0";"1026,8";"1,3";"98,0";"2,8";"";"0,0"
"05/09/2022";"0300";"8,4";"9,8";"7,9";"84,0";"84,0";"76,0";"5,9";"6,1";"5,2";"1026,9";"1026,9";"1026,8";"1,4";"20,0";"2,3";"";"0,0"
"05/09/2022";"0400";"7,6";"9,1";"7,6";"88,0";"88,0";"84,0";"5,7";"6,7";"5,6";"1026,9";"1027,0";"1026,9";"0,9";"11,0";"2,3";"";"0,0"
"05/09/2022";"0500";"8,0";"8,3";"6,5";"89,0";"90,0";"88,0";"6,4";"6,7";"4,7";"1026,5";"1027,0";"1026,5";"1,1";"355,0";"2,7";"";"0,0"
"05/09/2022";"0600";"7,3";"8,4";"6,9";"91,0";"91,0";"89,0";"5,9";"6,8";"5,3";"1026,0";"1026,5";"1026,0";"0,4";"261,0";"1,5";"";"0,0"
"05/09/2022";"0700";"6,4";"7,3";"6,4";"91,0";"91,0";"90,0";"5,1";"5,8";"5,0";"1025,1";"1026,0";"1025,1";"0,5";"151,0";"1,5";"";"0,0"
"05/09/2022";"0800";"6,3";"6,7";"5,6";"92,0";"92,0";"91,0";"5,0";"5,4";"4,3";"1025,0";"1025,1";"1024,9";"0,6";"2,0";"1,1";"";"0,0"
"05/09/2022";"0900";"5,9";"6,6";"5,3";"92,0";"92,0";"91,0";"4,7";"5,3";"4,1";"1025,1";"1025,1";"1025,0";"0,8";"100,0";"1,2";"";"0,0"
"05/09/2022";"1000";"6,0";"6,8";"4,9";"92,0";"92,0";"92,0";"4,9";"5,6";"3,7";"1025,4";"1025,4";"1025,1";"0,6";"54,0";"1,3";"16,20";"0,0"
